Series,age,gender,city,marital_status,education_level,speciality,occupation,day_hours,work_experience,current_work_experience,dist_to_work,envir_satisfac,head_satisfac,colleague_satisfac,selfdev_satisfac,wage_satisfac,balance_satisfac,job_satisfac
97,20,2,Lviv,1,3,4,4,8,4,2,0,5,4,5,5,4,4,4
98,28,2,Dusseldorf,2,5,4,4,10,6,1,0,4,4,4,5,2,1,3
99,26,2,Kyiv,1,5,3,3,8,8,1.6,40,4,4,4,4,4,4,4
100,20,1,Lviv,1,3,4,4,4,1,0.125,0,4,4,4,5,5,5,5
101,40,2,Kyiv,3,5,3,3,8,20,2,0,4,4,4,4,4,3,3
102,29,2,Kherson,2,5,5,3,8,9,0.6,15,4,4,4,4,3,3,4
103,25,2,Lviv,1,5,4,4,8,5,2,30,4,5,4,5,5,4,5
104,27,2,Odessa,2,5,4,4,8,5,1,0,5,5,4,5,4,4,5
105,31,2,Lviv,3,5,4,4,8,9,7,0,3,5,5,5,5,5,5
106,29,2,Kharkiv,1,5,3,4,9,2,2,0,4,5,5,4,5,4,4
107,32,2,Kyiv,1,5,1,4,8,11,3,0,5,4,4,4,4,4,5
108,36,1,Kherson,2,5,4,4,10,16,14,10,4,5,5,5,4,3,5
109,24,1,Kyiv,1,5,4,4,8,3,0.1,0,4,4,4,4,4,3,4
110,30,1,Kyiv,2,5,4,4,8,6,6,0,4,3,4,3,3,3,3
111,25,2,Kherson,2,4,4,4,8,6,2,0,2,5,5,5,4,3,4
112,24,1,Odessa,2,5,4,4,8,5,1.5,0,5,5,5,5,4,5,5
113,27,2,Kyiv,1,5,3,4,8,8,1,0,3,3,4,4,3,2,3
114,36,1,Kharkiv,2,5,2,4,8,15,5,0,3,5,5,4,4,4,4
115,23,2,Kharkiv,1,5,4,4,8,4,4,30,4,5,4,4,5,1,4
116,29,2,Kherson,2,4,3,3,8,6,2,0,3,4,4,4,5,4,4
117,32,1,Lviv,2,5,4,4,9,13,8,0,3,4,4,3,5,5,5
118,33,2,Kharkiv,2,5,4,4,8,15,2,0,3,5,5,5,4,3,4
119,38,1,Kharkiv,2,5,4,4,8,15,0.3,0,4,5,5,5,4,5,4
120,29,2,Kharkiv,2,5,3,4,8,10,7,0,3,4,5,5,3,3,3
121,53,1,Kyiv,2,5,4,3,10,35,1,0,4,5,5,5,5,4,5
122,26,2,Kherson,3,5,3,5,8,5,0.7,20,4,5,5,5,4,4,5
123,21,2,Kyiv,2,5,4,4,8,2,0.1,0,5,5,5,5,5,5,5
